email_text,label
"Congratulations! We are excited to offer you a position at our company.",1
"We are pleased to inform you that you have been shortlisted for the next round.",1
"Your application has been successful. Please find the offer letter attached.",1
"Welcome aboard! We are happy to have you join our team.",1
"Congratulations! You have cleared all interview rounds.",1
"We would like to invite you to the next stage of our selection process.",1
"You have been selected for the internship program starting next month.",1
"We are delighted to extend an offer to you for the position of Software Engineer.",1
"We were impressed by your performance and are happy to offer you the role.",1
"You are selected for the next round of interviews. Please confirm your availability.",1
"Congratulations on being shortlisted for the final round.",1
"We are happy to inform you that your application stood out among many others.",1
"Please find attached your offer letter and joining details.",1
"Welcome to the team! We are excited to have you onboard.",1
"Your selection has been confirmed. Our HR will reach out with further details.",1
"We would like to officially offer you a role at our organization.",1
"After reviewing your profile, we are happy to proceed with an offer.",1
"Congratulations! You have been accepted for the graduate trainee program.",1
"We are excited to move forward with your application and finalize the offer.",1
"Your application impressed our hiring panel. You are selected!",1
"After careful consideration, we regret to inform you that your application was not successful.",0
"Unfortunately, you were not selected for this position.",0
"Thank you for applying, but we have decided to move forward with other candidates.",0
"We appreciate your interest, but your profile does not match our current needs.",0
"After reviewing your application, we will not be moving forward at this time.",0
"We regret to inform you that you have not been shortlisted.",0
"Unfortunately, you have not been selected for the next round.",0
"We appreciate the effort you put into your application but cannot offer you a role.",0
"Your profile was not selected for this hiring cycle.",0
"We regret to inform you that your application has been declined.",0
"Thank you for your interest in our company, but we will not be proceeding further.",0
"After careful review, your application was not selected for this role.",0
"Unfortunately, your qualifications did not meet our current requirements.",0
"We have decided to pursue other candidates at this time.",0
"Your application has not been shortlisted for the interview stage.",0
"Thank you for your interest, but we are unable to offer you a position.",0
"While we were impressed with your background, we cannot move forward with your application.",0
"After reviewing your interview, we have decided not to proceed with your application.",0
"We appreciate your time and effort but have chosen to move ahead with other applicants.",0
"Your application did not meet the selection criteria for this role.",0
"We regret to inform you that your candidacy has been closed.",0
"Thank you for taking the time to apply. Unfortunately, you were not selected.",0
"We are grateful for your interest, but the position has been filled.",0
"We are unable to move forward with your profile for this role.",0
"Thank you for your application, but we have decided to consider other candidates.",0
"We appreciate your application, but your skills are not the best match for our needs.",0
"While your experience is valuable, we have chosen to move forward with others.",0
"We regret to inform you that you were not selected for this position.",0
"After evaluation, your profile does not meet our hiring criteria.",0
"Unfortunately, we cannot offer you the position at this time.",0
